username,timestamp,eco_score,carbon_saved,water_saved,energy_saved
EcoCareTaker_8002,2025-04-15 13:45:51,33,11.07282825,5.0,175
EcoCareTaker_8002,2025-04-15 13:51:21,33,11.07282825,5.0,175
EcoCareTaker_8002,2025-04-21 18:06:56,33,11.07282825,5.0,175
EcoCareTaker_8002,2025-04-21 18:11:36,33,11.07282825,5.0,175
Test1,2025-04-21 18:12:42,0,0.0,0.0,0
Test2,2025-04-21 23:50:16,0,0.0,0.0,0
Test2,2025-04-22 00:01:22,0,0.0,0.0,0
Test2,2025-04-22 00:10:55,0,0.0,0.0,0
Test2,2025-04-22 00:13:29,19,0.0,0.0,100
Test2,2025-04-22 00:18:59,19,0.0,0.0,100
Test2,2025-04-22 00:29:54,19,0.0,0.0,100
Test2,2025-04-22 00:50:35,34,0.0,0.0,100
Test2,2025-04-22 00:50:56,54,0.0,0.0,100
Test2,2025-04-22 01:09:03,54,0.0,0.0,100
Test2,2025-04-22 01:09:07,57,9.6525,0.0,100
Test2,2025-04-22 01:09:43,57,9.6525,0.0,100
 fawad khan,2025-04-27 16:19:05,0,0.0,0.0,0
 fawad khan,2025-04-27 16:22:37,0,0.0,0.0,0
 fawad khan,2025-04-27 16:29:44,0,0.0,0.0,0
 fawad khan,2025-04-27 16:30:32,0,0.0,0.0,0
 fawad khan,2025-04-27 16:45:22,0,0.0,0.0,0
EcoCareTaker_8002,2025-04-28 12:47:04,33,11.07282825,5.0,175
EcoCareTaker_8002,2025-04-28 12:48:54,33,11.07282825,5.0,175
EcoCareTaker_8002,2025-04-28 12:49:35,46,11.07282825,5.0,175
EcoCareTaker_8002,2025-04-28 13:00:25,46,11.07282825,5.0,175
Test5,2025-04-28 14:50:36,0,7.425,120.0,0
Test5,2025-04-28 14:54:01,0,7.425,120.0,0
Test5,2025-04-28 14:56:36,0,7.425,120.0,0
Test5,2025-04-28 15:03:34,0,7.425,120.0,0
